Date,Time,TICKER,EXPIRY,STRIKE,C/P,SPOT,QTY,PRICE,TYPE,VOLUME,OI,PREMIUM,SECTOR,UNUSUAL,DTX,EVENTS
6/2/17,2017-06-02T22:51:51.488Z,FB,6/30/17,157.5,Call,153.53,800,1.2,SWEEP,1112,3087,96000,,FALSE,28,
6/2/17,2017-06-02T22:51:33.105Z,AAPL,6/23/17,155,Call,155.25,780,2.5,BLOCK,2574,6260,195000,,FALSE,21,
6/2/17,2017-06-02T22:49:47.751Z,BAC,6/2/17,22.5,Put,22.41,1426,0.08,BLOCK,17592,11259,11408,,FALSE,0,
6/2/17,2017-06-02T22:49:18.192Z,RH,6/16/17,45,Call,42.26,2421,0.828976,SWEEP,2511,28,200695,,FALSE,14,
6/2/17,2017-06-02T22:47:45.641Z,BAC,07/17(M),22,Put,22.42,1170,0.59,SWEEP,2257,37725,69030,,FALSE,774
